Time,Voltage
0.0,0.0
0.02,475.52825814757676
0.04,293.89262614623664
0.06,-293.8926261462365
0.08,-475.5282581475768
0.1,-1.2246467991473532e-13
0.12,475.52825814757676
0.14,293.8926261462367
0.16,-293.8926261462364
0.18,-475.5282581475769
0.2,-2.4492935982947065e-13
0.22,475.5282581475767
0.24,293.8926261462368
0.26,-293.8926261462363
0.28,-475.5282581475769
0.3,-3.6739403974420595e-13
0.32,475.52825814757665
0.34,293.8926261462369
0.36,-293.89262614623624
0.38,-475.52825814757693
0.4,-4.898587196589413e-13
0.42,475.52825814757665
0.44,293.89262614623703
0.46,-293.8926261462361
0.48,-475.528258147577
0.5,-6.123233995736766e-13
0.52,475.5282581475766
0.54,293.89262614623715
0.56,-293.892626146236
0.58,-475.528258147577
0.6,-7.347880794884119e-13
0.62,475.52825814757654
0.64,293.8926261462372
0.66,-293.8926261462359
0.68,-475.52825814757705
0.7,-8.572527594031472e-13
0.72,475.5282581475765
0.74,293.89262614623726
0.76,-293.8926261462358
0.78,-475.5282581475771
0.8,-9.797174393178826e-13
0.82,475.5282581475765
0.84,293.8926261462374
0.86,-293.89262614623567
0.88,-475.5282581475771
0.9,-1.102182119232618e-12
0.92,475.5282581475764
0.94,293.8926261462375
0.96,-293.8926261462356
0.98,-475.52825814757716
1.0,-1.2246467991473533e-12
1.02,475.5282581475775
1.04,293.89262614623755
1.06,-293.8926261462384
1.08,-475.5282581475772
1.1,2.2056021997384125e-12
1.12,475.52825814757637
1.14,293.89262614624056
1.16,-293.8926261462354
1.18,-475.5282581475783
1.2,-1.4695761589768238e-12
1.22,475.52825814757523
1.24,293.8926261462378
1.26,-293.8926261462382
1.28,-475.5282581475773
1.3,1.9606728399089418e-12
1.32,475.52825814757625
1.34,293.892626146235
1.36,-293.8926261462352
1.38,-475.5282581475784
1.4,-1.7145055188062945e-12
1.42,475.5282581475752
1.44,293.892626146238
1.46,-293.89262614623226
1.48,-475.52825814757733
1.5,-5.38968387752153e-12
1.52,475.5282581475762
1.54,293.8926261462352
1.56,-293.892626146235
1.58,-475.52825814757625
1.6,-1.959434878635765e-12
1.62,475.5282581475773
1.64,293.8926261462382
1.66,-293.89262614623203
1.68,-475.52825814757745
1.7,-5.634613237351002e-12
1.72,475.52825814757614
1.74,293.8926261462412
1.76,-293.8926261462348
1.78,-475.52825814757637
1.8,-2.204364238465236e-12
1.82,475.5282581475772
1.84,293.8926261462384
1.86,-293.89262614623755
1.88,-475.5282581475775
1.9,-5.879542597180472e-12
1.92,475.528258147576
1.94,293.89262614624135
1.96,-293.89262614623465
1.98,-475.52825814757864
2.0,-2.4492935982947066e-12
2.02,475.5282581475771
2.04,293.89262614623283
2.06,-293.89262614623163
2.08,-475.5282581475776
2.1,9.809554005910592e-13
2.12,475.52825814757813
2.14,293.8926261462301
2.16,-293.8926261462344
2.18,-475.5282581475765
2.2,4.411204399476825e-12
2.22,475.52825814757927
2.24,293.8926261462388
2.26,-293.89262614622567
2.28,-475.52825814757983
2.3,-6.369401316839413e-12
2.32,475.5282581475759
2.34,293.8926261462475
2.36,-293.89262614622845
2.38,-475.52825814757875
2.4,-2.9391523179536476e-12
2.42,475.528258147577
2.44,293.8926261462447
2.46,-293.89262614623124
2.48,-475.52825814757773
2.5,4.91096680932118e-13
2.52,475.528258147578
2.54,293.892626146242
2.56,-293.892626146234
2.58,-475.52825814757665
2.6,3.9213456798178836e-12
2.62,475.5282581475747
2.64,293.8926261462392
2.66,-293.8926261462368
2.68,-475.5282581475756
2.7,7.351594678703649e-12
2.72,475.52825814757574
2.74,293.8926261462364
2.76,-293.89262614622805
2.78,-475.5282581475789
2.8,-3.429011037612589e-12
2.82,475.52825814757244
2.84,293.8926261462451
2.86,-293.89262614623084
2.88,-475.5282581475779
2.9,1.2379612731767153e-15
2.92,475.52825814757347
2.94,293.8926261462423
2.96,-293.8926261462336
2.98,-475.5282581475768
3.0,-1.077936775504306e-11
3.02,475.52825814757455
3.04,293.8926261462396
3.06,-293.8926261462364
3.08,-475.52825814757574
3.1,-7.349118756157296e-12
3.12,475.5282581475756
3.14,293.8926261462368
3.16,-293.8926261462392
3.18,-475.5282581475747
3.2,-3.91886975727153e-12
3.22,475.52825814757665
3.24,293.892626146234
3.26,-293.89262614623044
3.28,-475.528258147578
3.3,-1.469947547358777e-11
3.32,475.5282581475733
3.34,293.8926261462427
3.36,-293.8926261462332
3.38,-475.528258147577
3.4,-1.1269226474702004e-11
3.42,475.5282581475744
3.44,293.89262614623993
3.46,-293.892626146236
3.48,-475.52825814758035
3.5,-7.838977475816237e-12
3.52,475.52825814757546
3.54,293.8926261462372
3.56,-293.8926261462388
3.58,-475.52825814757927
3.6,-4.408728476930472e-12
3.62,475.5282581475765
3.64,293.8926261462344
3.66,-293.8926261462416
3.68,-475.52825814757813
3.7,-9.784794780447058e-13
3.72,475.5282581475776
3.74,293.89262614623163
3.76,-293.89262614623283
3.78,-475.5282581475815
3.8,-1.1759085194360944e-11
3.82,475.52825814757426
3.84,293.89262614624033
3.86,-293.89262614622413
3.88,-475.5282581475804
3.9,-8.328836195475179e-12
3.92,475.52825814757534
3.94,293.89262614623755
3.96,-293.8926261462269
3.98,-475.5282581475794
4.0,-4.898587196589413e-12
4.02,475.528258147572
4.04,293.8926261462348
4.06,-293.8926261462182
4.08,-475.5282581475739
4.1,-1.567919291290565e-11
4.12,475.52825814757307
4.14,293.8926261462436
4.16,-293.8926261462325
4.18,-475.5282581475773
